Checking_Account_Status,Duration,Credit_History,Purpose,Credit_Amount,Savings_Account,Employment_Duration,Installment_Rate,Personal_Status_Sex,Other_Debtors,Residence_Duration,Property,Age,Other_Installment_Plans,Housing,Existing_Credits,Job,Num_Dependents,Telephone,Foreign_Worker,Target
<_0_DM,6,Critical_account,Radio/Television,1169,Unknown/None,>=_7_years,4,Male:_single,NoNe,4,Real_estate,67,NoNe,Own,2,Skilled_employee,1,Yes,Yes,0
0-200_DM,48,Existing_credits_paid,Radio/Television,5951,<_100_DM,1-4_years,2,Female:_divorced/separated/married,NoNe,2,Real_estate,22,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,1
No_checking_account,12,Critical_account,Education,2096,<_100_DM,4-7_years,2,Male:_single,NoNe,3,Real_estate,49,NoNe,Own,1,Unskilled_-_resident,2,NoNe,Yes,0
<_0_DM,42,Existing_credits_paid,Furniture/Equipment,7882,<_100_DM,4-7_years,2,Male:_single,Guarantor,4,Building_society_savings,45,NoNe,For_free,1,Skilled_employee,2,NoNe,Yes,0
<_0_DM,24,Delay_in_past,Car_(new),4870,<_100_DM,1-4_years,3,Male:_single,NoNe,4,Unknown/None,53,NoNe,For_free,2,Skilled_employee,2,NoNe,Yes,1
No_checking_account,36,Existing_credits_paid,Education,9055,Unknown/None,1-4_years,2,Male:_single,NoNe,4,Unknown/None,35,NoNe,For_free,1,Unskilled_-_resident,2,Yes,Yes,0
No_checking_account,24,Existing_credits_paid,Furniture/Equipment,2835,500-1000_DM,>=_7_years,3,Male:_single,NoNe,4,Building_society_savings,53,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
0-200_DM,36,Existing_credits_paid,Car_(used),6948,<_100_DM,1-4_years,2,Male:_single,NoNe,2,Car_or_other,35,NoNe,Rent,1,Management/Self-employed,1,Yes,Yes,0
No_checking_account,12,Existing_credits_paid,Radio/Television,3059,>=_1000_DM,4-7_years,2,Male:_divorced/separated,NoNe,4,Real_estate,61,NoNe,Own,1,Unskilled_-_resident,1,NoNe,Yes,0
0-200_DM,30,Critical_account,Car_(new),5234,<_100_DM,Unemployed,4,Male:_married/widowed,NoNe,2,Car_or_other,28,NoNe,Own,2,Management/Self-employed,1,NoNe,Yes,1
0-200_DM,12,Existing_credits_paid,Car_(new),1295,<_100_DM,<_1_year,3,Female:_divorced/separated/married,NoNe,1,Car_or_other,25,NoNe,Rent,1,Skilled_employee,1,NoNe,Yes,1
<_0_DM,48,Existing_credits_paid,Business,4308,<_100_DM,<_1_year,3,Female:_divorced/separated/married,NoNe,4,Building_society_savings,24,NoNe,Rent,1,Skilled_employee,1,NoNe,Yes,1
0-200_DM,12,Existing_credits_paid,Radio/Television,1567,<_100_DM,1-4_years,1,Female:_divorced/separated/married,NoNe,1,Car_or_other,22,NoNe,Own,1,Skilled_employee,1,Yes,Yes,0
<_0_DM,24,Critical_account,Car_(new),1199,<_100_DM,>=_7_years,4,Male:_single,NoNe,4,Car_or_other,60,NoNe,Own,2,Unskilled_-_resident,1,NoNe,Yes,1
<_0_DM,15,Existing_credits_paid,Car_(new),1403,<_100_DM,1-4_years,2,Female:_divorced/separated/married,NoNe,4,Car_or_other,28,NoNe,Rent,1,Skilled_employee,1,NoNe,Yes,0
<_0_DM,24,Existing_credits_paid,Radio/Television,1282,100-500_DM,1-4_years,4,Female:_divorced/separated/married,NoNe,2,Car_or_other,32,NoNe,Own,1,Unskilled_-_resident,1,NoNe,Yes,1
No_checking_account,24,Critical_account,Radio/Television,2424,Unknown/None,>=_7_years,4,Male:_single,NoNe,4,Building_society_savings,53,NoNe,Own,2,Skilled_employee,1,NoNe,Yes,0
<_0_DM,30,No_credits_/__all_paid,Business,8072,Unknown/None,<_1_year,2,Male:_single,NoNe,3,Car_or_other,25,Bank,Own,3,Skilled_employee,1,NoNe,Yes,0
0-200_DM,24,Existing_credits_paid,Car_(used),12579,<_100_DM,>=_7_years,4,Female:_divorced/separated/married,NoNe,2,Unknown/None,44,NoNe,For_free,1,Management/Self-employed,1,Yes,Yes,1
No_checking_account,24,Existing_credits_paid,Radio/Television,3430,500-1000_DM,>=_7_years,3,Male:_single,NoNe,2,Car_or_other,31,NoNe,Own,1,Skilled_employee,2,Yes,Yes,0
No_checking_account,9,Critical_account,Car_(new),2134,<_100_DM,1-4_years,4,Male:_single,NoNe,4,Car_or_other,48,NoNe,Own,3,Skilled_employee,1,Yes,Yes,0
<_0_DM,6,Existing_credits_paid,Radio/Television,2647,500-1000_DM,1-4_years,2,Male:_single,NoNe,3,Real_estate,44,NoNe,Rent,1,Skilled_employee,2,NoNe,Yes,0
<_0_DM,10,Critical_account,Car_(new),2241,<_100_DM,<_1_year,1,Male:_single,NoNe,3,Real_estate,48,NoNe,Rent,2,Unskilled_-_resident,2,NoNe,No,0
0-200_DM,12,Critical_account,Car_(used),1804,100-500_DM,<_1_year,3,Male:_single,NoNe,4,Building_society_savings,44,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
No_checking_account,10,Critical_account,Furniture/Equipment,2069,Unknown/None,1-4_years,2,Male:_married/widowed,NoNe,1,Car_or_other,26,NoNe,Own,2,Skilled_employee,1,NoNe,No,0
<_0_DM,6,Existing_credits_paid,Furniture/Equipment,1374,<_100_DM,1-4_years,1,Male:_single,NoNe,2,Real_estate,36,Bank,Own,1,Unskilled_-_resident,1,Yes,Yes,0
No_checking_account,6,No_credits_/__all_paid,Radio/Television,426,<_100_DM,>=_7_years,4,Male:_married/widowed,NoNe,4,Car_or_other,39,NoNe,Own,1,Unskilled_-_resident,1,NoNe,Yes,0
>=_200_DM,12,All_credits_paid_at_bank,Radio/Television,409,>=_1000_DM,1-4_years,3,Female:_divorced/separated/married,NoNe,3,Real_estate,42,NoNe,Rent,2,Skilled_employee,1,NoNe,Yes,0
0-200_DM,7,Existing_credits_paid,Radio/Television,2415,<_100_DM,1-4_years,3,Male:_single,Guarantor,2,Real_estate,34,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
<_0_DM,60,Delay_in_past,Business,6836,<_100_DM,>=_7_years,3,Male:_single,NoNe,4,Unknown/None,63,NoNe,Own,2,Skilled_employee,1,Yes,Yes,1
0-200_DM,18,Existing_credits_paid,Business,1913,>=_1000_DM,<_1_year,3,Male:_married/widowed,NoNe,3,Real_estate,36,Bank,Own,1,Skilled_employee,1,Yes,Yes,0
<_0_DM,24,Existing_credits_paid,Furniture/Equipment,4020,<_100_DM,1-4_years,2,Male:_single,NoNe,2,Car_or_other,27,Stores,Own,1,Skilled_employee,1,NoNe,Yes,0
0-200_DM,18,Existing_credits_paid,Car_(new),5866,100-500_DM,1-4_years,2,Male:_single,NoNe,2,Car_or_other,30,NoNe,Own,2,Skilled_employee,1,Yes,Yes,0
No_checking_account,12,Critical_account,Business,1264,Unknown/None,>=_7_years,4,Male:_single,NoNe,4,Unknown/None,57,NoNe,Rent,1,Unskilled_-_resident,1,NoNe,Yes,0
>=_200_DM,12,Existing_credits_paid,Furniture/Equipment,1474,<_100_DM,<_1_year,4,Female:_divorced/separated/married,NoNe,1,Building_society_savings,33,Bank,Own,1,Management/Self-employed,1,Yes,Yes,0
0-200_DM,45,Critical_account,Radio/Television,4746,<_100_DM,<_1_year,4,Male:_single,NoNe,2,Building_society_savings,25,NoNe,Own,2,Unskilled_-_resident,1,NoNe,Yes,1
No_checking_account,48,Critical_account,Education,6110,<_100_DM,1-4_years,1,Male:_single,NoNe,3,Unknown/None,31,Bank,For_free,1,Skilled_employee,1,Yes,Yes,0
>=_200_DM,18,Existing_credits_paid,Radio/Television,2100,<_100_DM,1-4_years,4,Male:_single,Co-applicant,2,Real_estate,37,Stores,Own,1,Skilled_employee,1,NoNe,Yes,1
>=_200_DM,10,Existing_credits_paid,Domestic_appliances,1225,<_100_DM,1-4_years,2,Male:_single,NoNe,2,Car_or_other,37,NoNe,Own,1,Skilled_employee,1,Yes,Yes,0
0-200_DM,9,Existing_credits_paid,Radio/Television,458,<_100_DM,1-4_years,4,Male:_single,NoNe,3,Real_estate,24,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
No_checking_account,30,Existing_credits_paid,Radio/Television,2333,500-1000_DM,>=_7_years,4,Male:_single,NoNe,2,Car_or_other,30,Bank,Own,1,Management/Self-employed,1,NoNe,Yes,0
0-200_DM,12,Existing_credits_paid,Radio/Television,1158,500-1000_DM,1-4_years,3,Male:_divorced/separated,NoNe,1,Car_or_other,26,NoNe,Own,1,Skilled_employee,1,Yes,Yes,0
0-200_DM,18,Delay_in_past,Repairs,6204,<_100_DM,1-4_years,2,Male:_single,NoNe,4,Real_estate,44,NoNe,Own,1,Unskilled_-_resident,2,Yes,Yes,0
<_0_DM,30,Critical_account,Car_(used),6187,100-500_DM,4-7_years,1,Male:_married/widowed,NoNe,4,Car_or_other,24,NoNe,Rent,2,Skilled_employee,1,NoNe,Yes,0
<_0_DM,48,Critical_account,Car_(used),6143,<_100_DM,>=_7_years,4,Female:_divorced/separated/married,NoNe,4,Unknown/None,58,Stores,For_free,2,Unskilled_-_resident,1,NoNe,Yes,1
No_checking_account,11,Critical_account,Car_(new),1393,<_100_DM,<_1_year,4,Female:_divorced/separated/married,NoNe,4,Car_or_other,35,NoNe,Own,2,Management/Self-employed,1,NoNe,Yes,0
No_checking_account,36,Existing_credits_paid,Radio/Television,2299,500-1000_DM,>=_7_years,4,Male:_single,NoNe,4,Car_or_other,39,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
<_0_DM,6,Existing_credits_paid,Car_(used),1352,500-1000_DM,Unemployed,1,Female:_divorced/separated/married,NoNe,2,Building_society_savings,23,NoNe,Rent,1,Unemployed/Unskilled,1,Yes,Yes,0
No_checking_account,11,Critical_account,Car_(new),7228,<_100_DM,1-4_years,1,Male:_single,NoNe,4,Building_society_savings,39,NoNe,Own,2,Unskilled_-_resident,1,NoNe,Yes,0
No_checking_account,12,Existing_credits_paid,Radio/Television,2073,100-500_DM,1-4_years,4,Female:_divorced/separated/married,Co-applicant,2,Real_estate,28,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
0-200_DM,24,Delay_in_past,Furniture/Equipment,2333,Unknown/None,<_1_year,4,Male:_single,NoNe,2,Building_society_savings,29,Bank,Own,1,Unskilled_-_resident,1,NoNe,Yes,0
0-200_DM,27,Delay_in_past,Car_(used),5965,<_100_DM,>=_7_years,1,Male:_single,NoNe,2,Car_or_other,30,NoNe,Own,2,Management/Self-employed,1,Yes,Yes,0
No_checking_account,12,Existing_credits_paid,Radio/Television,1262,<_100_DM,1-4_years,3,Male:_single,NoNe,2,Car_or_other,25,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
No_checking_account,18,Existing_credits_paid,Car_(used),3378,Unknown/None,1-4_years,2,Male:_single,NoNe,1,Building_society_savings,31,NoNe,Own,1,Skilled_employee,1,Yes,Yes,0
0-200_DM,36,Delay_in_past,Car_(new),2225,<_100_DM,>=_7_years,4,Male:_single,NoNe,4,Unknown/None,57,Bank,For_free,2,Skilled_employee,1,Yes,Yes,1
No_checking_account,6,All_credits_paid_at_bank,Car_(new),783,Unknown/None,1-4_years,1,Male:_single,Guarantor,2,Real_estate,26,Stores,Own,1,Unskilled_-_resident,2,NoNe,Yes,0
0-200_DM,12,Existing_credits_paid,Radio/Television,6468,Unknown/None,Unemployed,2,Male:_single,NoNe,1,Unknown/None,52,NoNe,Own,1,Management/Self-employed,1,Yes,Yes,1
No_checking_account,36,Critical_account,Radio/Television,9566,<_100_DM,1-4_years,2,Female:_divorced/separated/married,NoNe,2,Car_or_other,31,Stores,Own,2,Skilled_employee,1,NoNe,Yes,0
>=_200_DM,18,Existing_credits_paid,Car_(new),1961,<_100_DM,>=_7_years,3,Female:_divorced/separated/married,NoNe,2,Car_or_other,23,NoNe,Own,1,Management/Self-employed,1,NoNe,Yes,0
<_0_DM,36,Critical_account,Furniture/Equipment,6229,<_100_DM,<_1_year,4,Female:_divorced/separated/married,Co-applicant,4,Unknown/None,23,NoNe,Rent,2,Unskilled_-_resident,1,Yes,Yes,1
0-200_DM,9,Existing_credits_paid,Business,1391,<_100_DM,1-4_years,2,Male:_married/widowed,NoNe,1,Real_estate,27,Bank,Own,1,Skilled_employee,1,Yes,Yes,0
0-200_DM,15,Critical_account,Radio/Television,1537,Unknown/None,>=_7_years,4,Male:_single,Guarantor,4,Real_estate,50,NoNe,Own,2,Skilled_employee,1,Yes,Yes,0
0-200_DM,36,No_credits_/__all_paid,Business,1953,<_100_DM,>=_7_years,4,Male:_single,NoNe,4,Unknown/None,61,NoNe,For_free,1,Management/Self-employed,1,Yes,Yes,1
0-200_DM,48,No_credits_/__all_paid,Business,14421,<_100_DM,1-4_years,2,Male:_single,NoNe,2,Car_or_other,25,NoNe,Own,1,Skilled_employee,1,Yes,Yes,1
No_checking_account,24,Existing_credits_paid,Radio/Television,3181,<_100_DM,<_1_year,4,Female:_divorced/separated/married,NoNe,4,Building_society_savings,26,NoNe,Own,1,Skilled_employee,1,Yes,Yes,0
No_checking_account,27,Existing_credits_paid,Repairs,5190,Unknown/None,>=_7_years,4,Male:_single,NoNe,4,Building_society_savings,48,NoNe,Own,4,Skilled_employee,2,Yes,Yes,0
No_checking_account,12,Existing_credits_paid,Radio/Television,2171,<_100_DM,<_1_year,2,Female:_divorced/separated/married,NoNe,2,Car_or_other,29,Bank,Own,1,Skilled_employee,1,NoNe,Yes,0
0-200_DM,12,Existing_credits_paid,Car_(new),1007,>=_1000_DM,1-4_years,4,Male:_married/widowed,NoNe,1,Real_estate,22,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
No_checking_account,36,Existing_credits_paid,Education,1819,<_100_DM,1-4_years,4,Male:_single,NoNe,4,Unknown/None,37,Stores,For_free,1,Skilled_employee,1,Yes,Yes,1
No_checking_account,36,Existing_credits_paid,Radio/Television,2394,Unknown/None,1-4_years,4,Female:_divorced/separated/married,NoNe,4,Car_or_other,25,NoNe,Own,1,Skilled_employee,1,NoNe,Yes,0
No_checking_account,36,Existing_credits_paid,Car_(used),8133,<_100_DM,1-4_years,1,Female:_divorced/separated/married,NoNe,2,Building_society_savings,30,Bank,Own,1,Skilled_employee,1,NoNe,Yes,0
No_checking_account,7,Critical_account,Radio/Television,730,Unknown/None,>=_7_years,4,Male:_single,NoNe,2,Building_society_savings,46,NoNe,Rent,2,Unskilled_-_resident,1,Yes,Yes,0
